vote_count,budget,popularity,crew_count,cast_count,runtime,keywords_count,vote_average,genres_count,release_year,production_companies_count,spoken_languages_count,revenue
426,100000000,18.325897,14,32,146.0,0,5.4,3,2010.0,4,2,288347692
858,95000000,37.054554,37,12,89.0,3,7.0,4,2000.0,2,1,76432727
2672,95000000,65.229868,13,37,88.0,10,6.2,4,2012.0,2,1,877244782
2374,95000000,101.187052,80,78,105.0,10,6.7,4,2015.0,4,1,543514353
1065,65000000,29.257137,27,17,136.0,13,6.6,2,2009.0,6,1,93525586
6122,94000000,85.688789,104,24,100.0,12,7.6,2,2003.0,1,1,940335536
8064,94000000,123.630332,29,29,201.0,15,8.1,3,2003.0,2,1,1118888979
7487,79000000,106.914973,36,34,179.0,15,8.0,3,2002.0,3,1,926287400
957,95000000,63.628459,55,35,102.0,7,5.2,2,2014.0,6,1,114178613
2192,115000000,41.498631,41,23,100.0,10,5.7,4,2001.0,7,1,274703340
2295,100000000,58.991388,67,41,119.0,16,5.9,4,2014.0,4,1,103039258
2077,93000000,1.859364,100,15,92.0,11,5.7,4,2001.0,2,2,368780809
4347,93000000,138.433168,110,28,105.0,9,7.0,4,2011.0,7,1,482860185
